## برنامج الرياضيات - المستوى الأول - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
| ف ٣١٧ | فيزياء المعادن | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ف ٣٢٩ | أطياف جزيئية | ف ٢١٠ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| **المجموع** | | | **٧** | **٢** | | | | **١٩** | | | | | **٩٠٠** | |

---

## برنامج الكيمياء والفيزياء - المستوى الثالث - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ف ٣٠٢ | عملى فيزياء (٤) | -- | ١ | -- | -- | ٦ | -- | ٢ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ف ٣٢٢ | فيزياء المواد غير المتبلورة | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف ٣٢٧ | فيزياء البوليمرات | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف ٣٣٥ | دوائر الكترونية والكترونيات رقمية | -- | ١ | -- | ٢ | ٢ | -- | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٣١٥ | التحليل الكهربى والطيفى | ك ٢١٣ | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك ٣٤٤ | كيمياء السطوح وتطبيقاتها | ك ١٠٢ | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك ٣٣٣ | كيمياء عضوية تطبيقية | ك ١٠١ | -- | ١ | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ك ٣٣٤ | كيمياء الاصباغ والالياف | -- | -- | ١ | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| **المجموع** | | | **٦** | **١** | | | | **١٧** | | | | | **٧٠٠** | |
| **مجموع الفصلين** | | | **١٣** | **٣** | | | | **٣٦** | | | | | **١٦٠٠** | |

---

## برنامج الكيمياء والفيزياء - المستوى الرابع - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ف ٤٠١ | عملى فيزياء (٥) | ف ٣٠٢ | ١ | -- | -- | ٦ | -- | ٢ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ف ٤١٠ | الليزر وتطبيقاتها | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف ٤٢٠ | فيزياء الجوامد (٢) | ف ٣١١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف ٤٣١ | فيزياء الألوان | ف ٢٢١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٤٠١ | مشروع بحث ومقال | -- | ١ | -- | ١ | -- | -- | ١ | -- | ١٠ | ١٠ | ٣٠ | ٥٠ | |
| ك ٤٣١ | كيمياء المنتجات الطبيعية | ك ٢٣١ | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٤٤١ | الحفز وتطبيقاتة | ك ٣٤٤ | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ف ٤٣٥ | اللغة العلمية للحاسب | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ف ٤٣٠ | الفيزياء الرياضية لغير الفيزيائيين (٢) | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٦** | **١** | | | | **١٦** | | | | | **٦٥٠** | |

---

## برنامج الكيمياء والفيزياء - المستوى الرابع - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ف ٤٠٢ | عملى فيزياء (٦) | ف ٤٠١ | ١ | -- | -- | ٦ | -- | ٢ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ف ٤٠٥ | مشروع بحث ومقال | -- | ١ | -- | ١ | -- | -- | ١ | -- | ١٠ | ١٠ | ٣٠ | ٥٠ | |
| ف ٤١١ | أشباه الموصلات | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف ٤١٥ | فيزياء نوويه (٣) وجسيمات أولية | ف ٣١٢ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٤٢٥ | كيمياء العناصر الإنتقاليه الداخليه وروابط المتراكبات (٢) | ك ٢٢١ | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك ٤٣٧ | كيمياء البوليمر والبترول والبتروكيماويات | ك ٢٣١ | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٤٤٢ | الكيمياء الفيزيائية للسوائل وللمحاليل -- الغرويات | ك ١٠٢ | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٤١٢ | كيمياء البيئة وتطبيقات النانو (١) | ك ١٠٢ | -- | ١ | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ك ٤١٤ | مقرر خاص في الكيمياء التحليلية | -- | -- | ١ | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٧** | **١** | | | | **١٦** | | | | | **٧٥٠** | |
| **مجموع الفصلين** | | | **١٣** | **٢** | | | | **٣٢** | | | | | **١٤٠٠** | |

---

## برنامج الجيوفيزياء - المستوى الأول - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر١١١ | تفاضل وتكامل (١) | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف ١٠١ | خواص المادة والحرارة | -- | ١ | -- | ٢ | ٢ | ١ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك١٠٢ | كيمياء عامة (٢) | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ر١٢١ | ميكانيكا (١) | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ج١٠١ | الجيولوجيا الفيزيائية والتاريخية | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ١٠١ع | حقوق الإنسان ومكافحة الفساد | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | -- | -- | ١٠٠ | -- | متطلبات جامعة |
| **المجموع** | | | **٦** | **--** | | | | **١٧** | | | | | **٥٠٠** | |

---

## برنامج الجيوفيزياء - المستوى الأول - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر١١٢ | جبر وهندسة | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف١٠٢ | كهربية ومغناطيسية وضوء | -- | ١ | -- | ٢ | ٢ | ١ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك١٠١ | كيمياء عامة (١) | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ر١٢٢ | ميكانيكا (٢) | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ج١٠٢ | البلورات و المعادن | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ١٠٢ع | مقدمة في علم الحاسب | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | متطلبات جامعة |
| **المجموع** | | | **٦** | **--** | | | | **١٧** | | | | | **٦٠٠** | |
| **مجموع الفصلين** | | | **١٢** | **--** | | | | **٣٤** | | | | | **١١٠٠** | |

---

## برنامج الجيوفيزياء - المستوى الثاني - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| جف٢٠١ | مقدمة في الجيوفيزياء (١) | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٢٠٥ | المعادن المكونة للصخور | -- | ١ | -- | ١ | ٢ | -- | ٢ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٢٠٧ | علم الصخور | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٢٠٩ | ترسيب وصخور رسوبية | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ف٢١١ | موجات واهتزازات | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٢١٠ | فيزياء ذرية | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ف٢٢٨ | تيار متردد ودوائر كهربية | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ٢٠١ع | مصطلحات علمية باللغة الإنجليزية | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | -- | ٩٠ | ١٠٠ | متطلبات جامعه |
| **المجموع** | | | **٦** | **١** | **١٤** | **٨** | **--** | **١٧** | | | | | **٧٠٠** | |

---

## برنامج الجيوفيزياء - المستوى الثاني - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| جف٢٠٤ | طرق التنقيب الكهربية | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| جف٢٠٦ | طرق التنقيب التثاقلية | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| جف٢٠٨ | طرق التنقيب المغناطيسية | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ج٢٠٤ | جيولوجيا تركيبية | ج١٠١ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٢٠٦ | طبقات عامة | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| جف٢٠٢ | مقدمة في الجيوفيزياء (٢) | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ر٢١٣ | رياضيات بحتة | ر١١١ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ع٢٠٢-ع٢١٠ | مواد ثقافية (اختيار مقرر واحد) | -- | -- | ١ | ٢ | -- | -- | ٢ | -- | -- | -- | ١٠٠ | -- | متطلبات جامعه |
| **المجموع** | | | **٥** | **٢** | | | | **١٧** | | | | | **٦٠٠** | |
| **مجموع الفصلين** | | | **١١** | **٣** | | | | **٣٤** | | | | | **١٣٠٠** | |

---

## برنامج الجيوفيزياء - المستوى الثالث - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| جف٣٠٣ | طرق التنقيب السيزمية-١ | جف٢٠١ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| جف٣٠٥ | طرق التنقيب الحرارية | جف٢٠١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| جف٣٠٧ | طرق التنقيب الكهرومغناطيسية | جف٢٠١ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٣٠٧ | جيولوجيا تكتونية | ج٢٠٤ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ج٣١٥ | إحصاء جيولوجى | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٣٠١ | تحليل عددى | ر١١١ | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٣١١ | فيزياء الجوامد (١) | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ف٣١٧ | فيزياء المعادن | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٦** | **١** | | | | **١٧** | | | | | **٧٠٠** | |

---

## برنامج الجيوفيزياء - المستوى الثالث - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| جف٣٠٤ | طرق التنقيب السيزمية-٢ | جف٢٠١ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| جف٣٠٦ | طرق التنقيب الاشعاعية | جف٢٠١ | ١ | -- | ١ | ٢ | -- | ٢ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٣٠٢ | جيولوجيا حقلية ومساحة | -- | ١ | -- | ١ | ٢ | ١ | ٢ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٣٠٨ | الجيولوجيا الإقتصادية | ج١٠٢ | ١ | -- | ١ | ٢ | -- | ٢ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٣١٠ | الجيولوجيا تحت السطحية | ج٢٠٥ | ١ | -- | ١ | ٢ | -- | ٢ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٣١٢ | جيولوجيا البترول | ج٢٠٥ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٣٢٦ | مغناطيسية دقيقة | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ج٣١٤ | جيولوجيا هندسية | ج١٠١ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ج٣١٦ | جيولوجيا بحرية | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٧** | **١** | | | | **١٧** | | | | | **٨٠٠** | |
| **مجموع الفصلين** | | | **١٣** | **٢** | | | | **٣٤** | | | | | **١٥٠٠** | |

---

## برنامج الجيوفيزياء - المستوى الرابع - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| جف٤٠١ | تسجيلات آبار | جف٢٠١ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| جف٤٠٣ | زلازل وزلزالية هندسية | جف٢٠١ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٤٠١ | جيولوجيا المياه وشكل الأرض في مصر | ج٢٠٤ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٤٠٣ | جيولوجيا الدلتا | ج٢٠٥ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ج٤٠٩ | جيولوجيا الطبقات فى مصر | ج٢٠٦ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| جف٤٠٥ | مغناطيسية قديمة | جف٢٠١ | -- | ١ | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | اختيار مقرر واحد |
| ج٤١٣ | إستشعار عن بعد ونظم معلومات جغرافية | ج١٠١ | -- | ١ | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٥** | **١** | | | | **١٧** | | | | | **٦٠٠** | |

---

## برنامج الجيوفيزياء - المستوى الرابع - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| جف٤٠٠ | مشروع بحث ومقال | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | ٢٠ | ٢٠ | ٦٠ | ١٠٠ | |
| جف٤٠٢ | بتروفيزياء الخزانات | جف٢٠١ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| جف٤٠٤ | تدريبات جيوفيزيائية وجيولوجيه حقلية | -- | ١ | -- | -- | ٤ | ٢ | ٣ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ج٤٠٦ | الأحواض الرسوبية | ج٢٠٤ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٤١٠ | جيولوجيا البترول فى مصر | ج٢٠٦ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| جف٤٠٦ | جيوفيزياء بيئية و جيولوجيا الآثار | جف٢٠١ | -- | ١ | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| جف٤٠٨ | تحليل بيانات جيوفيزيائية | -- | -- | ١ | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٥** | **١** | | | | **١٧** | | | | | **٦٠٠** | |
| **مجموع الفصلين** | | | **١٠** | **٢** | | | | **٣٤** | | | | | **١٢٠٠** | |

---

## برنامج الجيولوجيا - المستوى الأول - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر١١١ | تفاضل وتكامل (١) | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف١٠١ | خواص المادة والحرارة | -- | ١ | -- | ٢ | ١ | ٢ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك١٠٢ | كيمياء عامة (٢) | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج١٠١ | الجيولوجيا الفيزيائية والتاريخية | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ح١٠٢ | أسس تقسيم المملكة الحيوانية | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ١٠١ع | حقوق الإنسان ومكافحة الفساد | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | -- | -- | ١٠٠ | -- | متطلبات جامعة |
| **المجموع** | | | **٦** | **--** | | | | **١٧** | | | | | **٥٠٠** | |

---

## برنامج الجيولوجيا - المستوى الأول - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر١١٢ | جبر وهندسة | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف١٠٢ | كهربية ومغناطيسية وضوء | -- | ١ | -- | ٢ | ٢ | ١ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك١٠١ | كيمياء عامة (١) | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج١٠٢ | البلورات والمعادن | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ن١٠٢ | تنوع أحيائي وأساسيات فسيولوجيا النبات | -- | ١ | -- | ٢ | ٢ | ١ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ١٠٢ع | مقدمة في علم الحاسب | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | متطلبات جامعة |
| **المجموع** | | | **٦** | **--** | | | | **١٧** | | | | | **٦٠٠** | |
| **مجموع الفصلين** | | | **١٢** | **--** | | | | **٣٤** | | | | | **١١٠٠** | |

---

## برنامج الجيولوجيا - المستوى الثاني - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ج٢٠١ | أحافير لافقارية كبيرة | -- | ١ | -- | ١ | ٢ | -- | ٢ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٢٠٣ | بصريات المعادن | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٢٠٥ | المعادن المكونة للصخور | -- | ١ | -- | ١ | ٢ | -- | ٢ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج٢٠٩ | ترسيب و صخور رسوبية | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك٢٣٤ | أسس الكيمياء العضوية (٢) | ك١٠١ | ١ | -- | ٣ | -- | -- | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٢١٠ | فيزياء ذرية | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ف٢١١ | موجيات و إهتزازات | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ٢٠١ع | مصطلحات علمية باللغة الإنجليزية | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | -- | ٩٠ | ١٠٠ | متطلبات جامعة |
| **المجموع** | | | **٦** | **١** | | | | **١٧** | | | | | **٧٠٠** | |

---

## برنامج الجيولوجيا - المستوى الثاني - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
